precio_cobre,Inflación PERU,anio,inflacion_usa,precio_zinc,reservas,pbi,Rendimientos_log
203.34,4.61,2016,0.01,69.12,60938.31,457.89,0.13353139262452277
260.55,3.1,2017,0.01,122.82,62313.71,480.86,-0.02950066439669799
320.78,1.25,2018,0.02,155.9,64106.77,494.67,-0.03658944743229206
269.41,2.13,2019,0.03,116.46,61678.02,502.99,0.039578986280658146
273.8,1.89,2020,0.02,106.64,68895.76,519.6,-0.005988041844622557
361.04,2.68,2021,0.0,122.85,77601.54,514.44,0.08626034428440692
443.25,5.68,2022,0.0,163.79,78256.79,530.17,0.06917650935359557
406.3,8.66,2023,0.05,148.66,73779.1,527.38,-0.012936791030719453
378.75,3.02,2024,0.06,114.61,74170.43,536.15,-0.026386755173194887
402.2,1.85,2025,0.05,129.88,82268.91,560.57,0.002670228555878892
259.88,2.77,2015,0.0,95.15,62203.77,439.84,-0.19682624299683632
208.59,4.47,2016,0.01,77.56,60379.38,468.1,0.13068644049229125
269.48,3.25,2017,0.01,129.07,62337.64,471.78,-0.07388884209915822
317.81,1.18,2018,0.02,160.25,62623.96,484.59,-0.0030721990369701403
285.79,2.0,2019,0.03,122.8,62955.64,494.68,0.021309786586751027
257.99,1.9,2020,0.02,95.85,68599.78,517.33,0.020865138463961756
383.75,2.4,2021,0.0,124.43,77754.37,497.58,0.07389724620204122
450.93,6.15,2022,0.0,165.3,77402.26,521.62,0.0402738991379399
406.2,8.65,2023,0.05,142.6,74300.8,520.11,0.010471299867295437
376.97,3.29,2024,0.06,107.25,74236.62,536.46,-0.0026075634070808302
422.39,1.48,2025,0.05,129.05,83319.04,552.09,-0.034531983542375806
269.42,3.02,2015,0.0,92.02,61436.6,474.45,-0.18016172874052477
224.79,4.3,2016,0.01,81.66,61197.95,491.29,0.09854120038577142
264.2,3.97,2017,0.01,125.96,62472.43,497.0,-0.04192230638626348
308.16,0.36,2018,0.02,148.32,61840.42,516.29,-0.006134988567515944
292.09,2.25,2019,0.03,129.3,64036.01,533.78,0.018293193047325483
235.08,1.82,2020,0.0,86.35,68077.72,439.79,0.05295354682536425
408.46,2.6,2021,0.0,126.63,79553.64,527.2,0.06113014040500786
464.37,6.82,2022,0.01,180.27,77208.32,547.7,0.008053734807096825
400.78,8.4,2023,0.05,134.09,74188.18,552.63,0.010638398205055577
393.64,3.05,2024,0.05,111.54,75553.81,550.59,-0.01869213301215252
424.09,1.28,2025,0.05,128.59,84289.49,575.79,-0.01356872920606879
273.9,3.02,2015,0.0,99.99,61823.57,486.12,-0.15963014559188396
221.02,3.91,2016,0.01,84.16,61521.82,499.57,0.05608946665104358
257.71,3.69,2017,0.01,118.59,63042.49,501.13,-0.01526747213078842
310.41,0.48,2018,0.02,144.81,61022.52,541.64,-0.0061728591070809675
